id,theme,categorie,difficulte,type,question,reponse,choix2,choix3,choix4,explication,indices,media_url,media_debut,media_duree,actif,utilisations,epoque,anecdote
Q2301,Sciences,Dates,4,QCM,📅 Que s'est-il passé en 1783 ?,"Le premier vol habité en ballon, par les frères Montgolfier",La découverte du trou dans la couche d'ozone,La première image d'un trou noir,Le lancement de Spoutnik 1,Le 21 novembre 1783 au-dessus de Paris : 25 minutes de vol et près de 9 km parcourus.,,,0,15,oui,0,Avant 1970,
Q2302,Histoire,Dates,2,QCM,📅 Que s'est-il passé en 1789 ?,La Déclaration des droits de l'homme et du citoyen,La proclamation de la Deuxième République française,La capitulation de l'Allemagne nazie,Le début de la guerre de Sécession américaine,"Adoptée le 26 août, un mois après la prise de la Bastille : dix-sept articles qui fondent le droit français.",,,0,15,oui,0,Avant 1970,
Q2303,Histoire,Dates,4,QCM,📅 Que s'est-il passé en 1799 ?,Le coup d'État de Napoléon Bonaparte,La signature du traité de Versailles,La proclamation de la Deuxième République française,La Déclaration universelle des droits de l'homme,"Le 18 brumaire an VIII : il met fin au Directoire et ouvre la voie au Consulat, puis à l'Empire.",,,0,15,oui,0,Avant 1970,
Q2304,Histoire,Dates,2,QCM,📅 Que s'est-il passé en 1815 ?,La bataille de Waterloo,L'élection de Valéry Giscard d'Estaing,La première élection de Nelson Mandela,La catastrophe de Tchernobyl,Défaite de Napoléon face aux Anglais et aux Prussiens : elle met fin aux Cent-Jours et à l'Empire.,,,0,15,oui,0,Avant 1970,
Q2305,Histoire,Dates,4,QCM,📅 Que s'est-il passé en 1848 ?,La proclamation de la Deuxième République française,Le coup d'État de Napoléon Bonaparte,Les premiers congés payés en France,L'inauguration de la tour Eiffel,"La même année, le suffrage universel masculin et l'abolition définitive de l'esclavage sont proclamés.",,,0,15,oui,0,Avant 1970,
Q2306,Histoire,Dates,3,QCM,📅 Que s'est-il passé en 1861 ?,Le début de la guerre de Sécession américaine,La proclamation de la Troisième République française,L'inauguration de la tour Eiffel,Les premiers congés payés en France,Onze États esclavagistes du Sud font sécession : le conflit durera quatre ans et fera plus de 600 000 morts.,,,0,15,oui,0,Avant 1970,
Q2307,Histoire,Dates,3,QCM,📅 Que s'est-il passé en 1865 ?,L'abolition de l'esclavage aux États-Unis,L'assassinat de John F. Kennedy,La proclamation de la Deuxième République française,Le coup d'État de Napoléon Bonaparte,Le treizième amendement est ratifié quelques mois après la fin de la guerre de Sécession.,,,0,15,oui,0,Avant 1970,
Q2308,Histoire,Dates,4,QCM,📅 Que s'est-il passé en 1870 ?,La proclamation de la Troisième République française,L'inauguration de la tour Eiffel,L'armistice de la Première Guerre mondiale,L'abolition de la peine de mort en France,"Deux jours après la défaite de Sedan : ce régime durera soixante-dix ans, le plus long depuis 1789.",,,0,15,oui,0,Avant 1970,
Q2309,Histoire,Dates,2,QCM,📅 Que s'est-il passé en 1889 ?,L'inauguration de la tour Eiffel,"La première traversée de l'Atlantique en solitaire, par Lindbergh",La Déclaration universelle des droits de l'homme,La Déclaration des droits de l'homme et du citoyen,"Construite pour l'Exposition universelle, elle devait être démontée au bout de vingt ans.",,,0,15,oui,0,Avant 1970,
Q2310,Cinéma,Dates,3,QCM,📅 Que s'est-il passé en 1895 ?,La première projection payante du cinématographe,La sortie d'E.T. au cinéma,La sortie de Titanic au cinéma,La sortie du premier Harry Potter au cinéma,"Le 28 décembre à Paris, dans le salon indien du Grand Café : trente-trois spectateurs.",,,0,15,oui,0,Avant 1970,
Q2311,Sciences,Dates,3,QCM,📅 Que s'est-il passé en 1898 ?,La découverte du radium par Pierre et Marie Curie,La découverte du trou dans la couche d'ozone,L'identification du virus du sida à l'Institut Pasteur,"Le premier vol habité en ballon, par les frères Montgolfier",Il leur a fallu traiter des tonnes de minerai pour en isoler un dixième de gramme.,,,0,15,oui,0,Avant 1970,
Q2312,Sport,Dates,3,QCM,📅 Que s'est-il passé en 1903 ?,Le premier Tour de France cycliste,L'Angleterre championne du monde de football,Les Jeux olympiques de Paris,L'assassinat de John F. Kennedy,"Six étapes seulement, dont certaines de plus de 400 km, remportées par Maurice Garin.",,,0,15,oui,0,Avant 1970,
Q2313,Histoire,Dates,1,QCM,📅 Que s'est-il passé en 1912 ?,Le naufrage du Titanic,La découverte du tombeau de Toutânkhamon,L'assassinat de John F. Kennedy,Les événements de Mai 68 en France,"Le paquebot a heurté un iceberg lors de sa traversée inaugurale, avec seulement vingt canots pour 2 200 personnes.",,,0,15,oui,0,Avant 1970,
Q2314,Histoire,Dates,3,QCM,📅 Que s'est-il passé en 1917 ?,La révolution russe,La Déclaration des droits de l'homme et du citoyen,La proclamation de la Troisième République française,L'inauguration de la tour Eiffel,"Deux révolutions la même année : celle de février renverse le tsar, celle d'octobre porte les bolcheviks au pouvoir.",,,0,15,oui,0,Avant 1970,
Q2315,Histoire,Dates,2,QCM,📅 Que s'est-il passé en 1918 ?,L'armistice de la Première Guerre mondiale,La proclamation de la Deuxième République française,L'élection de Valéry Giscard d'Estaing,Le début de la guerre de Sécession américaine,"Signé le 11 novembre dans un wagon, en forêt de Compiègne, à 5 h 15 du matin.",,,0,15,oui,0,Avant 1970,
Q2316,Histoire,Dates,3,QCM,📅 Que s'est-il passé en 1919 ?,La signature du traité de Versailles,La capitulation de l'Allemagne nazie,La bataille de Waterloo,La création de l'OTAN,"Signé dans la galerie des Glaces, il impose à l'Allemagne des réparations que beaucoup jugeront ruineuses.",,,0,15,oui,0,Avant 1970,
Q2317,Histoire,Dates,3,QCM,📅 Que s'est-il passé en 1922 ?,La découverte du tombeau de Toutânkhamon,La proclamation de la Deuxième République française,L'entrée en vigueur du traité de Maastricht,La bataille de Waterloo,"Howard Carter met au jour une sépulture presque intacte, après six ans de fouilles infructueuses.",,,0,15,oui,0,Avant 1970,
Q2318,Histoire,Dates,4,QCM,📅 Que s'est-il passé en 1927 ?,"La première traversée de l'Atlantique en solitaire, par Lindbergh",L'entrée en vigueur du traité de Maastricht,L'abolition de la peine de mort en France,L'abolition de l'esclavage aux États-Unis,"Trente-trois heures et demie de vol sans escale, de New York au Bourget, sans radio ni pilote automatique.",,,0,15,oui,0,Avant 1970,
