id,theme,categorie,difficulte,type,question,reponse,choix2,choix3,choix4,explication,indices,media_url,media_debut,media_duree,actif,utilisations,epoque,anecdote
Q0001,Histoire,France,1,QCM,En quelle année a eu lieu la prise de la Bastille ?,1789,1792,1715,1804,"Le 14 juillet 1789, symbole du début de la Révolution française.",Même année que la Déclaration des droits de l'homme.,,0,15,oui,0,,"Le jour de la prise, la Bastille ne comptait que 7 prisonniers. Louis XVI aurait écrit « Rien » dans son journal de chasse ce 14 juillet… Les pierres de la forteresse ont été vendues en souvenir, comme plus tard des morceaux du mur de Berlin."
Q0002,Histoire,France,1,QCM,Quel roi était surnommé le « Roi-Soleil » ?,Louis XIV,Louis XVI,François Ier,Henri IV,"Louis XIV a régné 72 ans (1643-1715), un record en Europe.",Il a fait construire Versailles.,,0,15,oui,0,,"Il est devenu roi à 4 ans et 8 mois. Le surnom vient d'un ballet où, adolescent, il dansait le rôle d'Apollon, le dieu soleil. À Versailles, sa chambre était placée au centre du château, face au soleil levant."
Q0003,Histoire,Personnages,1,VF,Napoléon Bonaparte est né en Corse.,Vrai,,,,Né à Ajaccio le 15 août 1769.,,,0,15,oui,0,,"Il est né en 1769, un an à peine après que la Corse est devenue française (1768). Enfant, il parlait corse et italien ; à l'école militaire de Brienne, on se moquait de son accent."
Q0004,Histoire,Antiquité,1,QCM,Quelle civilisation a construit les pyramides de Gizeh ?,Les Égyptiens,Les Romains,Les Mayas,Les Grecs,"Construites il y a environ 4 500 ans, sous les pharaons Khéops, Khéphren et Mykérinos.",,,0,15,oui,0,,"Contrairement à la légende, elles n'ont pas été bâties par des esclaves mais par des ouvriers payés et nourris : on a retrouvé leur village et leurs tombes. La grande pyramide a été le plus haut monument du monde pendant près de 4 000 ans."
Q0005,Histoire,Explorateurs,1,QCM,Quel navigateur a atteint l'Amérique en 1492 ?,Christophe Colomb,Vasco de Gama,Fernand de Magellan,Jacques Cartier,"Il pensait avoir atteint les Indes, d'où le nom « Indiens ».","Trois navires : la Niña, la Pinta et la Santa María.",,0,15,oui,0,,"Il a traversé l'Atlantique en environ 36 jours. Il est mort en 1506 persuadé d'avoir atteint l'Asie. Le continent porte le nom d'un autre navigateur, Amerigo Vespucci."
Q0006,Histoire,XXe siècle,1,VF,Le premier homme à avoir marché sur la Lune est Neil Armstrong.,Vrai,,,,"Mission Apollo 11, juillet 1969. Buzz Aldrin l'a suivi quelques minutes plus tard.",,,0,15,oui,0,Avant 1970,"Environ 600 millions de téléspectateurs ont suivi ses premiers pas. Les traces de pas sont toujours là : sans vent ni pluie, elles peuvent rester des millions d'années."
Q0007,Histoire,France,2,QCM,Quelle reine de France a été guillotinée en 1793 ?,Marie-Antoinette,Catherine de Médicis,Anne d'Autriche,Joséphine de Beauharnais,"Épouse de Louis XVI, exécutée le 16 octobre 1793.",Elle était autrichienne.,,0,15,oui,0,,"Ses derniers mots auraient été « Monsieur, je vous demande pardon, je ne l'ai pas fait exprès », après avoir marché sur le pied du bourreau. Elle était la sœur de l'empereur d'Autriche."
Q0008,Histoire,XXe siècle,2,ESTIMATION,En quelle année a commencé la Première Guerre mondiale ?,1914,,1,,"Déclenchée à l'été 1914, elle s'achève avec l'armistice du 11 novembre 1918.",,,0,15,oui,0,,"L'étincelle : l'assassinat de l'archiduc François-Ferdinand à Sarajevo, le 28 juin 1914. Environ 1,4 million de soldats français y sont morts. Presque chaque commune de France a son monument aux morts."
Q0009,Histoire,XXe siècle,2,QCM,Quel mur est tombé en novembre 1989 ?,Le mur de Berlin,Le mur d'Hadrien,La Grande Muraille,Le mur des Lamentations,"Sa chute, le 9 novembre 1989, annonce la réunification allemande (1990).",,,0,15,oui,0,Années 80,Tout est parti d'une erreur : un porte-parole de la RDA a annoncé par mégarde que la nouvelle loi sur les voyages s'appliquait « immédiatement ». Des milliers de Berlinois se sont précipités aux postes-frontières dans la soirée.
Q0010,Histoire,France,2,QCM,Qui a été le premier président de la Ve République ?,Charles de Gaulle,Georges Pompidou,René Coty,Vincent Auriol,Président de 1959 à 1969.,Le général de l'appel du 18 juin.,,0,15,oui,0,Avant 1970,"Il a échappé à plusieurs attentats, dont celui du Petit-Clamart en 1962 : sa Citroën DS, criblée de balles, a pu repartir sur des pneus crevés grâce à sa suspension."
Q0011,Histoire,Personnages,2,VF,Jeanne d'Arc a été brûlée à Rouen.,Vrai,,,,"Le 30 mai 1431, place du Vieux-Marché.",,,0,15,oui,0,,"Elle avait environ 19 ans. Réhabilitée par un procès en 1456, elle a été canonisée en 1920. Une ancienne tour de son château-prison, la tour Jeanne-d'Arc, se visite toujours à Rouen."
Q0012,Histoire,Chronologie,2,ORDRE,Remettez ces événements dans l'ordre chronologique.,Chute de l'Empire romain d'Occident | Découverte de l'Amérique | Révolution française | Première Guerre mondiale,Du plus ancien au plus récent,,,"476, 1492, 1789, 1914.",,,0,15,oui,0,,
Q0013,Histoire,France,3,QCM,Quel roi a signé l'édit de Nantes en 1598 ?,Henri IV,Louis XIII,François Ier,Charles IX,L'édit accorde la liberté de culte aux protestants.,Le « bon roi » de la poule au pot.,,0,15,oui,0,,"Henri IV, protestant, s'était converti au catholicisme pour monter sur le trône (« Paris vaut bien une messe », phrase qu'on lui attribue). Il a été assassiné par Ravaillac en 1610, rue de la Ferronnerie à Paris."
Q0014,Histoire,Napoléon,3,QCM,Quelle bataille de 1815 marque la défaite définitive de Napoléon ?,Waterloo,Austerlitz,Iéna,Trafalgar,"Le 18 juin 1815, en Belgique actuelle.",,,0,15,oui,0,,"La pluie de la veille a retardé l'attaque française et laissé le temps aux Prussiens d'arriver. En anglais, « to meet one's Waterloo » veut dire subir une défaite décisive."
Q0015,Histoire,France,3,ESTIMATION,En quelle année les femmes ont-elles voté pour la première fois en France ?,1945,,3,,"Droit accordé en avril 1944, premier vote aux municipales d'avril 1945.",Juste à la fin de la Seconde Guerre mondiale.,,0,15,oui,0,,"La France est l'un des derniers pays d'Europe de l'Ouest à l'avoir accordé. En 1945, 33 femmes ont été élues députées à l'Assemblée constituante."
Q0016,Histoire,Antiquité,3,QCM,Quel empereur romain est accusé par la légende d'avoir incendié Rome ?,Néron,Caligula,Auguste,Trajan,Grand incendie de l'an 64. Sa responsabilité réelle est très discutée.,,,0,15,oui,0,,"La légende de Néron jouant de la lyre devant Rome en flammes est inventée : il était à Antium, à 50 km, au début de l'incendie. Il a ensuite accusé les chrétiens pour détourner les soupçons."
Q0017,Histoire,Moyen Âge,3,VF,La guerre de Cent Ans a duré exactement 100 ans.,Faux,,,,"De 1337 à 1453, soit 116 ans.",,,0,15,oui,0,,Elle a été entrecoupée de longues trêves. C'est pendant cette guerre qu'on voit apparaître les premiers canons sur les champs de bataille européens.
Q0018,Histoire,Antiquité,3,QCM,Quel pharaon a vu son tombeau découvert presque intact en 1922 ?,Toutânkhamon,Ramsès II,Khéops,Akhenaton,Découvert par Howard Carter dans la Vallée des Rois.,Célèbre pour son masque en or.,,0,15,oui,0,,"Carter a cherché pendant des années. Quand il a percé la porte, on lui a demandé s'il voyait quelque chose : « Oui, des choses merveilleuses ! » La mort de son mécène, Lord Carnarvon, a lancé la légende de la « malédiction du pharaon »."
Q0019,Histoire,France,3,QCM,Comment s'appelle la dynastie de rois fondée par Hugues Capet en 987 ?,Les Capétiens,Les Mérovingiens,Les Carolingiens,Les Bourbons,Les Valois et les Bourbons en sont des branches.,,,0,15,oui,0,,"Pendant la Révolution, Louis XVI a été jugé sous le nom de « Louis Capet », en référence à cet ancêtre."
Q0020,Histoire,XXe siècle,4,QCM,Quel traité a mis fin à la Première Guerre mondiale avec l'Allemagne ?,Le traité de Versailles,Le traité de Rome,Le traité de Maastricht,Le traité de Vienne,Signé le 28 juin 1919 dans la galerie des Glaces.,,,0,15,oui,0,,Il a été signé cinq ans jour pour jour après l'attentat de Sarajevo. La galerie des Glaces avait été choisie car l'Empire allemand y avait été proclamé en 1871.
Q0021,Histoire,Chronologie,4,ORDRE,Remettez ces souverains dans l'ordre chronologique.,Clovis | Charlemagne | Saint Louis | Louis XIV,Du plus ancien au plus récent,,,"Clovis (vers 500), Charlemagne (800), Saint Louis (XIIIe s.), Louis XIV (XVIIe s.).",,,0,15,oui,0,,"Saint Louis (Louis IX) rendait la justice sous un chêne à Vincennes, selon son biographe Joinville. Il est le seul roi de France canonisé."
Q0022,Histoire,Moyen Âge,4,ESTIMATION,En quelle année Charlemagne a-t-il été couronné empereur ?,800,,10,,Couronné à Rome le jour de Noël de l'an 800.,Un nombre tout rond.,,0,15,oui,0,,"La légende dit qu'il a « inventé l'école ». En réalité, il a surtout encouragé l'enseignement dans les monastères. Il ne savait probablement pas bien écrire lui-même."
Q0023,Histoire,Moyen Âge,4,QCM,Quelle ville était la capitale de l'Empire byzantin ?,Constantinople,Rome,Athènes,Alexandrie,"Aujourd'hui Istanbul, prise par les Ottomans en 1453.",,,0,15,oui,0,,"La prise de Constantinople en 1453 est souvent choisie pour marquer la fin du Moyen Âge. Les Ottomans ont fait passer des navires par voie de terre, sur des rondins graissés, pour contourner la chaîne qui fermait le port."
Q0024,Histoire,XXe siècle,4,VF,Le Titanic a coulé lors de son voyage inaugural.,Vrai,,,,"Dans la nuit du 14 au 15 avril 1912, après avoir heurté un iceberg.",,,0,15,oui,0,,Il y avait des canots pour environ la moitié des passagers seulement. Environ 1 500 personnes sont mortes. L'épave a été retrouvée en 1985 par près de 3 800 m de fond.
