id,theme,categorie,difficulte,type,question,reponse,choix2,choix3,choix4,explication,indices,media_url,media_debut,media_duree,actif,utilisations,epoque,anecdote
Q2001,Cinéma,Répliques,3,QCM,"🎬 De quel film vient cette réplique ? « T'as de beaux yeux, tu sais. »",Quai des brumes,Le Jour se lève,Pépé le Moko,La Bête humaine,Jean Gabin la glisse à Michèle Morgan dans le film de Marcel Carné. Elle est devenue le symbole du « réalisme poétique » français.,,,0,15,oui,0,Avant 1970,
Q2002,Cinéma,Répliques,3,QCM,"🎬 De quel film vient cette réplique ? « Atmosphère, atmosphère… Est-ce que j'ai une gueule d'atmosphère ? »",Hôtel du Nord,Quai des brumes,Les Enfants du paradis,Drôle de drame,"Arletty la lance à Louis Jouvet, sur une passerelle du canal Saint-Martin à Paris. Le décor du film était entièrement reconstitué en studio.",,,0,15,oui,0,Avant 1970,
Q2003,Cinéma,Répliques,2,QCM,"🎬 De quel film vient cette réplique ? « Les cons, ça ose tout. C'est même à ça qu'on les reconnaît. »",Les Tontons flingueurs,Le Cave se rebiffe,Un taxi pour Tobrouk,Mélodie en sous-sol,"Signée Michel Audiard, dans la bouche de Bernard Blier. Le film a été un échec à sa sortie avant de devenir culte à la télévision.",,,0,15,oui,0,Avant 1970,
Q2004,Cinéma,Répliques,3,QCM,"🎬 De quel film vient cette réplique ? « Ça va marcher beaucoup moins bien, forcément. »",Le Corniaud,La Grande Vadrouille,Le Gendarme de Saint-Tropez,La Traversée de Paris,Bourvil constate les dégâts sur sa 2 CV pulvérisée par la Rolls de Louis de Funès. La scène a nécessité trois carrosseries identiques.,,,0,15,oui,0,Avant 1970,
Q2005,Cinéma,Répliques,2,QCM,"🎬 De quel film vient cette réplique ? « C'est cela, oui… »",Le Père Noël est une ordure,Papy fait de la résistance,Les Bronzés,Le Grand Bleu,"La rengaine de Thérèse (Anémone), excédée. Le film est né d'une pièce jouée par la troupe du Splendid au théâtre du Splendid.",,,0,15,oui,0,Années 80,
Q2006,Cinéma,Répliques,1,QCM,🎬 De quel film vient cette réplique ? « Que trépasse si je faiblis ! »,Les Visiteurs,Les Couloirs du temps,Astérix et Obélix : Mission Cléopâtre,Le Bossu,Le cri de guerre de Godefroy de Montmirail (Jean Reno). Le film a réuni près de 14 millions de spectateurs en France.,,,0,15,oui,0,Années 90,
Q2007,Cinéma,Répliques,1,QCM,🎬 De quel film vient cette réplique ? « Il s'appelle Juste Leblanc. »,Le Dîner de cons,La Chèvre,Les Compères,Le Placard,"Jacques Villeret ne comprend pas que « Juste » est un prénom. Francis Veber a d'abord écrit l'histoire pour le théâtre, où Villeret tenait déjà le rôle.",,,0,15,oui,0,Années 90,
Q2008,Cinéma,Répliques,3,QCM,"🎬 De quel film vient cette réplique ? « C'est toujours comme ça, la vie, ou seulement quand on est petit ? »",Léon,Nikita,Le Grand Bleu,Subway,"Mathilda (Natalie Portman, 12 ans au tournage) à Jean Reno. C'était le premier grand rôle de l'actrice.",,,0,15,oui,0,Années 90,
Q2009,Cinéma,Répliques,2,QCM,🎬 De quel film vient cette réplique ? « Multipass ! »,Le Cinquième Élément,Le Grand Bleu,Léon,Jeanne d'Arc,"Leeloo (Milla Jovovich) brandit son passe universel. Elle parle dans le film une langue inventée par Luc Besson, le « divin langage ».",,,0,15,oui,0,Années 90,
Q2010,Cinéma,Répliques,2,QCM,🎬 De quel film vient cette réplique ? « Je te casse ! »,Brice de Nice,Camping,Les Bronzés 3,"OSS 117 : Le Caire, nid d'espions",Le tic de Jean Dujardin en surfeur niçois qui n'a jamais vu une vague. Le personnage venait de ses spectacles de scène.,,,0,15,oui,0,Années 2000,
Q2011,Cinéma,Répliques,1,QCM,"🎬 De quel film vient cette réplique ? « Pas de bras, pas de chocolat. »",Intouchables,Le Sens de la fête,Samba,Hors normes,"La blague cruelle d'Omar Sy à Philippe Pozzo di Borgo, dont l'histoire vraie a inspiré le film. Plus de 19 millions de spectateurs en France.",,,0,15,oui,0,Années 2010,
Q2012,Cinéma,Répliques,2,QCM,"🎬 De quel film vient cette réplique ? « Ils sont fous, ces Romains ! »",Astérix et Obélix : Mission Cléopâtre,Astérix et Obélix contre César,Astérix aux Jeux olympiques,Les Visiteurs,"La réplique d'Obélix, reprise des albums de Goscinny et Uderzo. Le film d'Alain Chabat est resté le plus populaire de la série.",,,0,15,oui,0,Années 2000,
Q2013,Cinéma,Répliques,1,QCM,🎬 De quel film vient cette réplique ? « Je suis ton père. »,Star Wars : L'Empire contre-attaque,Star Wars : Un nouvel espoir,Star Wars : Le Retour du Jedi,Star Trek,"Dark Vador à Luke Skywalker. Pour garder le secret, l'acteur avait tourné une autre phrase : la vraie a été ajoutée au doublage.",,,0,15,oui,0,Années 80,
