id,theme,categorie,difficulte,type,question,reponse,choix2,choix3,choix4,explication,indices,media_url,media_debut,media_duree,actif,utilisations,epoque,anecdote
Q2101,Blind test musique,International,4,QCM,🎵 Quel est ce titre ?,The Kinks – You Really Got Me,The Doors – Light My Fire,Louis Armstrong – What a Wonderful World,Aretha Franklin – Respect,1964. Le son saturé viendrait d'un ampli que le guitariste avait fendu à la lame de rasoir.,,https://www.youtube.com/watch?v=fTTsY-oz6Go,0,15,oui,0,Avant 1970,
Q2102,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Bob Dylan – Like a Rolling Stone,The Doors – Light My Fire,Louis Armstrong – What a Wonderful World,Elvis Presley – Jailhouse Rock,1965. Six minutes quand les radios en voulaient trois : la maison de disques a failli la refuser.,,https://www.youtube.com/watch?v=IwOfCgkyEj0,0,15,oui,0,Avant 1970,
Q2103,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,James Brown – I Got You (I Feel Good),Louis Armstrong – What a Wonderful World,Otis Redding – (Sittin' On) The Dock of the Bay,Elvis Presley – Hound Dog,1965. Le cri d'ouverture est devenu l'un des plus repris de la musique populaire.,,https://www.youtube.com/watch?v=pTdihu-mp90,0,15,oui,0,Avant 1970,
Q2104,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Nina Simone – Feeling Good,The Animals – The House of the Rising Sun,Louis Armstrong – What a Wonderful World,The Beatles – Twist and Shout,"1965. La chanson vient d'une comédie musicale anglaise ; l'interprétation de Simone l'a éclipsée.",,https://www.youtube.com/watch?v=oHRNrgDIJfo,0,15,oui,0,Avant 1970,
Q2105,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Jimi Hendrix – Hey Joe,James Brown – I Got You (I Feel Good),Elvis Presley – Hound Dog,Aretha Franklin – Respect,"1966, premier single du guitariste à Londres : une reprise qui a fait sa réputation.",,https://www.youtube.com/watch?v=biguQQBpHjY,0,15,oui,0,Avant 1970,
Q2106,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Marvin Gaye – I Heard It Through the Grapevine,Bill Haley & His Comets – Rock Around the Clock,Louis Armstrong – What a Wonderful World,James Brown – I Got You (I Feel Good),1968. La Motown jugeait le morceau trop sombre et a tardé un an à le sortir.,,https://www.youtube.com/watch?v=YUzTr2P0AJo,0,15,oui,0,Avant 1970,
Q2107,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Led Zeppelin – Whole Lotta Love,Nina Simone – Feeling Good,Bob Dylan – Like a Rolling Stone,Elvis Presley – Jailhouse Rock,1969. Le riff a longtemps servi de générique à l'émission Top of the Pops.,,https://www.youtube.com/watch?v=HibBnC6SVk8,0,15,oui,0,Avant 1970,
Q2108,Blind test musique,International,4,QCM,🎵 Quel est ce titre ?,The Who – Baba O'Riley,Chic – Le Freak,Patrick Hernandez – Born to Be Alive,Gloria Gaynor – I Will Survive,"1971. L'orgue répétitif du début a été programmé sur un synthétiseur primitif, à partir de données biographiques.",,https://www.youtube.com/watch?v=QRTNm6GLJYI,0,15,oui,0,Années 70,
Q2109,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Creedence Clearwater Revival – Have You Ever Seen the Rain,Boney M. – Rasputin,Queen – Bohemian Rhapsody,Donna Summer – I Feel Love,1971. La « pluie » du titre évoquait en réalité la dissolution annoncée du groupe.,,https://www.youtube.com/watch?v=JKES3yfnD9U,0,15,oui,0,Années 70,
Q2110,Blind test musique,International,2,QCM,🎵 Quel est ce titre ?,Deep Purple – Smoke on the Water,Sister Sledge – We Are Family,Patrick Hernandez – Born to Be Alive,Fleetwood Mac – Dreams,1972. Le texte raconte l'incendie d'un casino suisse pendant un concert de Frank Zappa.,,https://www.youtube.com/watch?v=qK7j_EERgT4,0,15,oui,0,Années 70,
Q2111,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,"Barry White – You're the First, the Last, My Everything",Queen – Bohemian Rhapsody,Elton John – Rocket Man,Fleetwood Mac – Dreams,"1974. La mélodie venait d'une chanson country jamais publiée, écrite vingt ans plus tôt.",,https://www.youtube.com/watch?v=f2dwSG1x984,0,15,oui,0,Années 70,
Q2112,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Sister Sledge – We Are Family,Bee Gees – Stayin' Alive,Stevie Wonder – Superstition,The Cure – Boys Don't Cry,"1979, produit par Nile Rodgers et Bernard Edwards : l'hymne est devenu celui d'une équipe de baseball.",,https://www.youtube.com/watch?v=uyGY2NfYpeE,0,15,oui,0,Années 70,
Q2113,Blind test musique,International,2,QCM,🎵 Quel est ce titre ?,AC/DC – Highway to Hell,Fleetwood Mac – Dreams,Donna Summer – I Feel Love,"Barry White – You're the First, the Last, My Everything","1979, dernier album avec le chanteur Bon Scott, mort quelques mois plus tard.",,https://www.youtube.com/watch?v=l482T0yNkeo,0,15,oui,0,Années 70,
Q2114,Blind test musique,International,4,QCM,🎵 Quel est ce titre ?,The Cure – Boys Don't Cry,Queen – Bohemian Rhapsody,ABBA – Dancing Queen,Sister Sledge – We Are Family,"1979. Le groupe anglais a réenregistré la chanson en 1986, avec une voix plus grave.",,https://www.youtube.com/watch?v=9GkVhgIeGJQ,0,15,oui,0,Années 70,
Q2115,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,The Clash – Should I Stay or Should I Go,Michael Jackson – Thriller,Queen – I Want to Break Free,Toto – Africa,1982. Les chœurs en espagnol ont été improvisés en studio par un ami du groupe.,,https://www.youtube.com/watch?v=BN1WwnEDWAM,0,15,oui,0,Années 80,
Q2116,Blind test musique,International,4,QCM,🎵 Quel est ce titre ?,New Order – Blue Monday,Bon Jovi – Livin' on a Prayer,Bob Marley & The Wailers – Could You Be Loved,Journey – Don't Stop Believin',1983. La pochette imitait une disquette : si complexe à fabriquer que chaque vente faisait perdre de l'argent.,,https://www.youtube.com/watch?v=c1GxjzHm5us,0,15,oui,0,Années 80,
Q2117,Blind test musique,International,2,QCM,🎵 Quel est ce titre ?,The Police – Every Breath You Take,Michael Jackson – Beat It,Toto – Africa,Michael Jackson – Thriller,"1983. Souvent prise pour une chanson d'amour, elle décrit en fait une surveillance obsessionnelle.",,https://www.youtube.com/watch?v=OMOGaugKpzs,0,15,oui,0,Années 80,
Q2118,Blind test musique,International,2,QCM,🎵 Quel est ce titre ?,Bryan Adams – Summer of '69,Prince – Purple Rain,Michael Jackson – Billie Jean,Simple Minds – Don't You (Forget About Me),1984. Le chanteur avait 9 ans en 1969 : le titre renvoie moins à l'année qu'à un souvenir inventé.,,https://www.youtube.com/watch?v=9f06QZCVUHg,0,15,oui,0,Années 80,
Q2119,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Simple Minds – Don't You (Forget About Me),Bob Marley & The Wailers – Could You Be Loved,Madonna – Like a Virgin,Whitney Houston – I Wanna Dance with Somebody,"1985. Le groupe écossais a d'abord refusé la chanson, écrite pour le film Breakfast Club.",,https://www.youtube.com/watch?v=CdqoNKCCt7A,0,15,oui,0,Années 80,
Q2120,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Depeche Mode – Enjoy the Silence,Haddaway – What Is Love,Mariah Carey – All I Want for Christmas Is You,Aqua – Barbie Girl,"1990. Conçue comme une ballade lente, elle est devenue un tube après avoir été accélérée en studio.",,https://www.youtube.com/watch?v=aGSKrC7dGcY,0,15,oui,0,Années 90,
Q2121,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Sinéad O'Connor – Nothing Compares 2 U,Ace of Base – All That She Wants,Los del Río – Macarena,Stardust – Music Sounds Better with You,"1990. La chanson est signée Prince ; le clip tient en un seul plan sur le visage de la chanteuse.",,https://www.youtube.com/watch?v=09FLUZWzshY,0,15,oui,0,Années 90,
Q2122,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Roxette – It Must Have Been Love,Britney Spears – …Baby One More Time,Gala – Freed from Desire,Radiohead – Creep,1990. Le duo suédois avait écrit la chanson pour Noël avant qu'elle ne serve au film Pretty Woman.,,https://www.youtube.com/watch?v=k2C5TjS2sh4,0,15,oui,0,Années 90,
Q2123,Blind test musique,International,2,QCM,🎵 Quel est ce titre ?,Metallica – Nothing Else Matters,Britney Spears – …Baby One More Time,Rednex – Cotton Eye Joe,Haddaway – What Is Love,"1991. James Hetfield l'avait écrite au téléphone, pour lui seul, sans penser à en faire une chanson.",,https://www.youtube.com/watch?v=tAGnKpE4NCI,0,15,oui,0,Années 90,
Q2124,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Radiohead – Creep,Alanis Morissette – Ironic,No Doubt – Don't Speak,Fugees – Killing Me Softly,"1992. Le groupe a longtemps refusé de la jouer en concert, lassé de son succès.",,https://www.youtube.com/watch?v=6kpQNCOp7T4,0,15,oui,0,Années 90,
Q2125,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Rednex – Cotton Eye Joe,Haddaway – What Is Love,Eiffel 65 – Blue (Da Ba Dee),Blur – Song 2,1994. Des Suédois reprenant un air traditionnel américain : le disque s'est vendu à des millions d'exemplaires.,,https://www.youtube.com/watch?v=mOYZaiDZ7BM,0,15,oui,0,Années 90,
Q2126,Blind test musique,International,1,QCM,🎵 Quel est ce titre ?,Mariah Carey – All I Want for Christmas Is You,Christina Aguilera – Genie in a Bottle,Red Hot Chili Peppers – Californication,The Cranberries – Zombie,"1994. Écrite en un quart d'heure, elle revient chaque décembre en tête des classements.",,https://www.youtube.com/watch?v=bXlk2q_kt3I,0,15,oui,0,Années 90,
Q2127,Blind test musique,International,4,QCM,🎵 Quel est ce titre ?,Björk – It's Oh So Quiet,Gala – Freed from Desire,Metallica – Nothing Else Matters,Oasis – Wonderwall,1995. La chanteuse islandaise reprend un morceau de music-hall allemand des années 1940.,,https://www.youtube.com/watch?v=hi_C0pw0R7Y,0,15,oui,0,Années 90,
Q2128,Blind test musique,International,2,QCM,🎵 Quel est ce titre ?,Los del Río – Macarena,Britney Spears – …Baby One More Time,Stardust – Music Sounds Better with You,Coolio – Gangsta's Paradise,1995. Le duo andalou avait improvisé le refrain lors d'un voyage au Venezuela.,,https://www.youtube.com/watch?v=qXA6inbDHeE,0,15,oui,0,Années 90,
Q2129,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Gala – Freed from Desire,No Doubt – Don't Speak,Roxette – It Must Have Been Love,Daft Punk – Around the World,"1996. Devenue un chant de stade trente ans plus tard, elle revient à chaque grande compétition.",,https://www.youtube.com/watch?v=p3l7fgvrEKM,0,15,oui,0,Années 90,
Q2130,Blind test musique,International,4,QCM,🎵 Quel est ce titre ?,The Prodigy – Firestarter,Alanis Morissette – Ironic,TLC – No Scrubs,The Cranberries – Zombie,1996. Le clip tourné dans le métro londonien a été jugé trop inquiétant par la BBC.,,https://www.youtube.com/watch?v=wmin5WkOuPw,0,15,oui,0,Années 90,
Q2131,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Blur – Song 2,Christina Aguilera – Genie in a Bottle,Haddaway – What Is Love,R.E.M. – Losing My Religion,"1997. Deux minutes, deux couplets : la chanson devait être une parodie de rock américain.",,https://www.youtube.com/watch?v=SSbBvKaM6sk,0,15,oui,0,Années 90,
Q2132,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Daft Punk – Around the World,Björk – It's Oh So Quiet,Ricky Martin – Livin' la Vida Loca,Los del Río – Macarena,1997. Le clip de Michel Gondry attribue à chaque instrument un groupe de danseurs différent.,,https://www.youtube.com/watch?v=dwDns8x3Jb4,0,15,oui,0,Années 90,
Q2133,Blind test musique,International,4,QCM,🎵 Quel est ce titre ?,Stardust – Music Sounds Better with You,Britney Spears – …Baby One More Time,Eiffel 65 – Blue (Da Ba Dee),The Cranberries – Zombie,1998. Le groupe n'a sorti que cette chanson : l'un des sommets de la French touch.,,https://www.youtube.com/watch?v=FQlAEiCb8m0,0,15,oui,0,Années 90,
Q2134,Blind test musique,International,4,QCM,🎵 Quel est ce titre ?,Massive Attack – Teardrop,Lou Bega – Mambo No. 5,Haddaway – What Is Love,Depeche Mode – Enjoy the Silence,"1998. Devenue le générique de la série Dr House, elle est chantée par Elizabeth Fraser.",,https://www.youtube.com/watch?v=u7K72X4eo_s,0,15,oui,0,Années 90,
Q2135,Blind test musique,International,4,QCM,🎵 Quel est ce titre ?,Moby – Why Does My Heart Feel So Bad?,Robbie Williams – Angels,Lou Bega – Mambo No. 5,Blur – Song 2,1999. L'album Play a été entièrement construit sur des enregistrements de chants gospel des années 1930.,,https://www.youtube.com/watch?v=qT6XCvDUUsU,0,15,oui,0,Années 90,
Q2136,Blind test musique,International,4,QCM,🎵 Quel est ce titre ?,TLC – No Scrubs,Alanis Morissette – Ironic,Nirvana – Smells Like Teen Spirit,Fugees – Killing Me Softly,1999. Le mot « scrub » désigne un homme qui se vante sans rien avoir : la chanson a lancé l'expression.,,https://www.youtube.com/watch?v=FrLequ6dUdM,0,15,oui,0,Années 90,
Q2137,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Christina Aguilera – Genie in a Bottle,Los del Río – Macarena,Coolio – Gangsta's Paradise,Massive Attack – Teardrop,"1999, premier single de la chanteuse, sorti la même année que celui de Britney Spears.",,https://www.youtube.com/watch?v=dMm90NTa1T4,0,15,oui,0,Années 90,
Q2138,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Modjo – Lady (Hear Me Tonight),Kylie Minogue – Can't Get You Out of My Head,Shakira – Hips Don't Lie,The White Stripes – Seven Nation Army,"2000. Le duo français a bâti le morceau sur un extrait de Chic, « Soup for One ».",,https://www.youtube.com/watch?v=-EmfweH9xVw,0,15,oui,0,Années 2000,
Q2139,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Destiny's Child – Survivor,Las Ketchup – Aserejé,"Mika – Relax, Take It Easy",The Killers – Mr. Brightside,2001. Le texte répond aux critiques après les départs successifs de membres du groupe.,,https://www.youtube.com/watch?v=Wmc8bQoL-J0,0,15,oui,0,Années 2000,
Q2140,Blind test musique,International,4,QCM,🎵 Quel est ce titre ?,System of a Down – Chop Suey!,Gnarls Barkley – Crazy,Shakira – Hips Don't Lie,Eminem – Without Me,"2001. Le titre d'origine, jugé trop provocant, a été remplacé par le nom d'un plat sino-américain.",,https://www.youtube.com/watch?v=CSvFpBOe8eY,0,15,oui,0,Années 2000,
Q2141,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,50 Cent – In da Club,Amy Winehouse – Rehab,Destiny's Child – Survivor,Gnarls Barkley – Crazy,"2003. Produit par Dr. Dre, le morceau a lancé l'un des albums de rap les plus vendus.",,https://www.youtube.com/watch?v=5qm8PH4xAss,0,15,oui,0,Années 2000,
Q2142,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Sean Paul – Get Busy,Beyoncé – Single Ladies (Put a Ring on It),Las Ketchup – Aserejé,Muse – Uprising,2003. Le Jamaïcain a porté le dancehall en tête des classements américains.,,https://www.youtube.com/watch?v=oPQ3o14ksaM,0,15,oui,0,Années 2000,
Q2143,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Evanescence – Bring Me to Life,Gorillaz – Feel Good Inc.,Eminem – Without Me,Crazy Frog – Axel F,"2003. La maison de disques a imposé la voix masculine du refrain, contre l'avis du groupe.",,https://www.youtube.com/watch?v=JixFMKqQU5w,0,15,oui,0,Années 2000,
Q2144,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Crazy Frog – Axel F,Alicia Keys – Fallin',The Black Eyed Peas – I Gotta Feeling,50 Cent – In da Club,"2005. La grenouille reprend le thème du Flic de Beverly Hills, composé par Harold Faltermeyer.",,https://www.youtube.com/watch?v=vTEKeUrEDjw,0,15,oui,0,Années 2000,
Q2145,Blind test musique,International,2,QCM,🎵 Quel est ce titre ?,David Guetta – Titanium,Arctic Monkeys – Do I Wanna Know?,Ed Sheeran – Shape of You,Drake – God's Plan,2011. Sia avait enregistré la voix comme simple maquette : elle est restée sur le disque final.,,https://www.youtube.com/watch?v=Rohq0D72X3Q,0,15,oui,0,Années 2010,
Q2146,Blind test musique,International,4,QCM,🎵 Quel est ce titre ?,Of Monsters and Men – Little Talks,Bruno Mars – Just the Way You Are,Gotye – Somebody That I Used to Know,Doja Cat – Say So,2011. Le groupe islandais s'est fait connaître en remportant un concours de radio dans son pays.,,https://www.youtube.com/watch?v=IY8rOSyR5Rw,0,15,oui,0,Années 2010,
Q2147,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Passenger – Let Her Go,Lil Nas X – Old Town Road,Dua Lipa – New Rules,Macklemore & Ryan Lewis – Can't Hold Us,2012. Le chanteur britannique jouait encore dans la rue quand la chanson est devenue un tube mondial.,,https://www.youtube.com/watch?v=lRVTVB94zTg,0,15,oui,0,Années 2010,
Q2148,Blind test musique,International,3,QCM,🎵 Quel est ce titre ?,Hozier – Take Me to Church,Adele – Rolling in the Deep,Drake – God's Plan,Justin Timberlake – Can't Stop the Feeling!,2013. L'Irlandais l'a enregistrée dans le grenier de ses parents.,,https://www.youtube.com/watch?v=MYSVMgRr6pw,0,15,oui,0,Années 2010,
